cast,count
Anupam Kher,41
Shah Rukh Khan,35
Om Puri,30
Naseeruddin Shah,30
Akshay Kumar,29
Takahiro Sakurai,28
Yuki Kaji,27
Boman Irani,27
Amitabh Bachchan,27
Paresh Rawal,27
Kareena Kapoor,25
Vincent Tong,24
Andrea Libman,24
John Cleese,24
Tara Strong,22
Ashleigh Ball,22
Nawazuddin Siddiqui,21
Ajay Devgn,21
Samuel L. Jackson,20
Kay Kay Menon,20
Daisuke Ono,20
Salman Khan,20
Nicolas Cage,20
Gulshan Grover,19
Adam Sandler,19
Fred Tatasciore,19
James Franco,18
Yashpal Sharma,18
Kana Hanazawa,18
Anil Kapoor,18
Junichi Suwabe,18
Ai Kayano,18
David Attenborough,18
Debi Derryberry,18
Erin Fitzgerald,18
Kate Higgins,17
Saif Ali Khan,17
Asrani,17
Jackie Shroff,17
Laura Bailey,17
Fred Armisen,17
Diana Kaarina,17
Priyanka Chopra,17
Yuichi Nakamura,16
Amrish Puri,16
Morgan Freeman,16
Mamoru Miyano,16
Tomokazu Sugita,16
Michael Palin,16
Danny Trejo,16
Michela Luci,16
Antonio Banderas,16
Hassan Hosny,16
Robb Wells,16
Aamir Khan,16
Rajesh Sharma,16
Rajpal Yadav,16
Manoj Joshi,16
Seth Rogen,16
Pankaj Tripathi,15
Eric Idle,15
Sanjay Mishra,15
Hiroshi Kamiya,15
Alessandro Juliani,15
Adil Hussain,15
Katrina Kaif,15
Manoj Bajpayee,15
Vijay Raaz,15
Sean Astin,15
Molly Shannon,15
Yoshimasa Hosoya,15
Sam Vincent,15
John Paul Tremblay,15
Kari Wahlgren,14
Ben Kingsley,14
Kulbhushan Kharbanda,14
Samuel West,14
Jun Fukuyama,14
Keith David,14
Maya Rudolph,14
Sharat Saxena,14
Ranvir Shorey,14
Radhika Apte,14
Laurence Fishburne,14
Terry Jones,14
Kathleen Barr,14
Shakti Kapoor,14
Pavan Malhotra,14
Brian Drummond,14
Tinnu Anand,14
Erin Mathews,14
Sanjay Dutt,14
Ian James Corlett,14
Miyuki Sawashiro,14
Tabitha St. Germain,14
Sachin Khedekar,14
Johnny Depp,14
Alfred Molina,14
Fumiko Orikasa,13
Seema Biswas,13
Terry Gilliam,13
Jamie Watson,13
Mithun Chakraborty,13
Shahid Kapoor,13
Ahmed Helmy,13
Mohnish Bahl,13
Abhishek Bachchan,13
Dee Bradley Baker,13
Cindy Robinson,13
Kevin Michael Richardson,13
Rishi Kapoor,13
Saori Hayami,13
Gerard Butler,13
Ray Liotta,13
Graham Chapman,13
Eric Peterson,13
Julie Lemieux,13
Guy Pearce,13
Irrfan Khan,13
Vipin Sharma,13
Jim Broadbent,13
Demet Akbağ,12
Mike Epps,12
Omoni Oboli,12
Liam Neeson,12
Ricky Gervais,12
Rob Riggle,12
Javed Sheikh,12
Joan Cusack,12
Jeff Dunham,12
Cory Doran,12
Paul Dobson,12
Natsuki Hanae,12
Rajit Kapoor,12
Rajkummar Rao,12
Jimmy Shergill,12
Ron Perlman,12
Yoko Hikasa,12
Kazuya Nakai,12
Nick Swardson,12
Cate Blanchett,12
Nana Patekar,12
Ben Mendelsohn,12
Michael Peña,12
Tiffany Haddish,12
Bruce Willis,12
Jackie Chan,12
Anna Claire Bartlam,12
Will Ferrell,12
Robert De Niro,12
Jason Schwartzman,12
Liev Schreiber,12
Abhay Deol,12
Cassandra Morris,12
Adam Scott,12
Maaya Sakamoto,12
Juhi Chawla,12
John Abraham,12
Willem Dafoe,12
Patton Oswalt,12
Julie Tejwani,12
Stephen Fry,12
Stephanie Sheh,12
David Koechner,12
Kevin Hart,12
Mahesh Manjrekar,12
John Travolta,11
Rosario Dawson,11
Brijendra Kala,11
Sonal Kaushal,11
Laura Linney,11
Minako Kotobuki,11
Amy Adams,11
Helen Mirren,11
Kenjiro Tsuda,11
Britt McKillip,11
Kathryn Hahn,11
Paul Rudd,11
Rikiya Koyama,11
Halle Berry,11
Elyse Maloway,11
Satoshi Hino,11
David Cross,11
John C. Reilly,11
Keegan-Michael Key,11
Ken Jeong,11
John Michael Higgins,11
Cam Clarke,11
Sathyaraj,11
Andy Samberg,11
Ryan Reynolds,11
Terry Crews,11
Mike Smith,11
Divya Dutta,11
Arjun Rampal,11
Vidya Balan,11
Chris Rock,11
George Clooney,11
Steve Buscemi,11
Patrick Warburton,11
Dalip Tahil,11
Steven Yeun,11
Judy Greer,11
Satish Shah,11
Alok Nath,11
Michael Shannon,11
Johnny Yong Bosch,11
Tay Ping Hui,11
Saurabh Shukla,11
Bruce Greenwood,11
Alison Brie,11
Kazuhiko Inoue,11
John Dunsworth,11
Takehito Koyasu,11
Robert Patrick,11
Woody Harrelson,11
B.N. Sharma,11
