country,Genre
Afghanistan,"Documentaries,International Movies"
Albania,"Dramas,International Movies"
Algeria,"Classic Movies,Dramas,International Movies"
Angola,"Action & Adventure,International Movies"
Argentina,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Independent Movies,TV Comedies,Music & Musicals,Romantic Movies,TV Dramas,Children & Family Movies,Cult Movies,Stand-Up Comedy,Comedies,Kids' TV,Movies,Thrillers,International TV Shows,TV Horror,Spanish-Language TV Shows,Classic Movies,Action & Adventure,Dramas,Romantic TV Shows,International Movies,Horror Movies,Reality TV,Docuseries,Teen TV Shows,LGBTQ Movies"
Armenia,"Documentaries,International Movies"
Australia,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Independent Movies,TV Comedies,Music & Musicals,TV Thrillers,Romantic Movies,TV Dramas,Children & Family Movies,Cult Movies,Stand-Up Comedy,Comedies,Kids' TV,Movies,Science & Nature TV,British TV Shows,Thrillers,International TV Shows,TV Horror,Classic Movies,TV Sci-Fi & Fantasy,Action & Adventure,Dramas,Romantic TV Shows,International Movies,Horror Movies,Reality TV,Docuseries,Teen TV Shows,TV Mysteries,LGBTQ Movies,TV Action & Adventure"
Austria,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Thrillers,International TV Shows,Independent Movies,Dramas,TV Dramas,International Movies"
Azerbaijan,"International TV Shows,Romantic TV Shows,TV Dramas"
Bahamas,Action & Adventure
Bangladesh,"Independent Movies,Comedies,Dramas,International Movies"
Belarus,"British TV Shows,TV Comedies,Kids' TV"
Belgium,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Thrillers,International TV Shows,Independent Movies,Classic Movies,TV Sci-Fi & Fantasy,Action & Adventure,Music & Musicals,Dramas,Romantic Movies,TV Dramas,International Movies,Horror Movies,Children & Family Movies,TV Mysteries,LGBTQ Movies,Comedies,TV Action & Adventure,Kids' TV"
Bermuda,Documentaries
Botswana,Documentaries
Brazil,"Faith & Spirituality,Science & Nature TV,Crime TV Shows,Documentaries,Sports Movies,Thrillers,International TV Shows,TV Horror,Independent Movies,TV Sci-Fi & Fantasy,TV Comedies,Action & Adventure,Music & Musicals,Dramas,TV Dramas,Romantic TV Shows,International Movies,Romantic Movies,Stand-Up Comedy & Talk Shows,Reality TV,Children & Family Movies,Docuseries,TV Mysteries,Stand-Up Comedy,LGBTQ Movies,Comedies,Kids' TV"
Bulgaria,"Horror Movies,Children & Family Movies,Sci-Fi & Fantasy,Thrillers,Independent Movies,Action & Adventure,Dramas,International Movies"
Cambodia,"Children & Family Movies,Sci-Fi & Fantasy,Action & Adventure,Comedies,Dramas,International Movies"
