director,count
Jan Suter,21
Raúl Campos,19
Marcus Raboy,16
Jay Karas,15
Cathy Garcia-Molina,13
Youssef Chahine,12
Martin Scorsese,12
Jay Chapman,12
Steven Spielberg,10
David Dhawan,9
Shannon Hartman,9
Anurag Kashyap,9
Justin G. Dyck,8
Umesh Mehra,8
Robert Rodriguez,8
Kunle Afolayan,8
Hakan Algül,8
Johnnie To,8
Ryan Polito,8
Yılmaz Erdoğan,8
Lance Bangs,8
Quentin Tarantino,8
Omoni Oboli,7
S.S. Rajamouli,7
Dibakar Banerjee,7
Don Michael Paul,7
Leslie Small,7
Noah Baumbach,7
Ozan Açıktan,7
Fernando Ayllón,7
McG,7
Hanung Bramantyo,7
Wong Jing,6
Tilak Shetty,6
Riri Riza,6
Jesse V. Johnson,6
Priyadarshan,6
Karan Johar,6
Troy Miller,6
Vlad Yudin,6
Rajkumar Santoshi,6
Rocky Soraya,6
Wenn V. Deramas,6
Ashutosh Gowariker,6
Sameh Abdulaziz,6
Zoya Akhtar,6
Imtiaz Ali,6
Steven Soderbergh,6
Matt Askem,6
Ron Howard,6
Anees Bazmee,6
Sooraj R. Barjatya,6
Joey So,6
Kevin Smith,6
Michael Simon,6
Ram Gopal Varma,6
William Lau,6
Robert Vince,6
Ken Burns,5
Ishi Rudell,5
Thierry Donard,5
Niyi Akinmolayan,5
Poj Arnon,5
Prakash Satam,5
Nagesh Kukunoor,5
Khaled Marei,5
Madhur Bhandarkar,5
David Batty,5
Indra Kumar,5
Robb Wells,5
Lana Wachowski,5
Jay Roach,5
Mae Czarina Cruz,5
Mike Smith,5
Prakash Jha,5
Shigeaki Kubo,5
Lilly Wachowski,5
Rajiv Chilaka,5
Abbas Alibhai Burmawalla,5
Clint Eastwood,5
Kıvanç Baruönü,5
Manny Rodriguez,5
Rajiv Mehra,5
Steve Ball,5
Vishal Bhardwaj,5
Detlev Buck,5
Anurag Basu,5
Mike Clattenburg,5
John Paul Tremblay,5
Wilson Yip,5
Steve Brill,5
Mahesh Manjrekar,5
Rohit Shetty,5
Mastan Alibhai Burmawalla,5
Cristina Jacob,4
Chris Stokes,4
Andrew Lau Wai-Keung,4
Christopher Storer,4
Toshiya Shinohara,4
Qaushiq Mukherjee,4
Terry Gilliam,4
Sam Liu,4
Antonio Campos,4
Rob Minkoff,4
Joe Berlinger,4
Andy Tennant,4
Alex Woo,4
Shyam Benegal,4
Fernando González Molina,4
Alastair Fothergill,4
Lucas Margutti,4
Spike Lee,4
Hiroyuki Seshita,4
Steve Carr,4
Shaun Paul Piccinino,4
Lynn Shelton,4
Hrishikesh Mukherjee,4
Oliver Stone,4
Jun Lana,4
Rakeysh Omprakash Mehra,4
Maroun Baghdadi,4
Sudhir Mishra,4
Luis Ara,4
Milan Luthria,4
Savage Steve Holland,4
Hernán Zin,4
Angga Dwimas Sasongko,4
Paul Dugdale,4
Jeremy Saulnier,4
Lee Tamahori,4
Conrad Helten,4
Farhan Akhtar,4
John Huston,4
Masahiko Murata,4
Dan Villegas,4
Philippe Aractingi,4
Nishikant Kamat,4
Wael Ehsan,4
Martin Campbell,4
Ahmad El-Badri,4
Rohit Jugraj,4
Paul Thomas Anderson,4
Antoinette Jadaone,4
Frank Capra,4
Wael Ihsan,4
Werner Herzog,4
Chia-Liang Liu,4
Michael McKay,4
David Fincher,4
Banjong Pisanthanakun,4
Stan Lathan,4
Robert Luketic,4
Stanley Moore,4
Farah Khan,4
Vikramaditya Motwane,4
Kundan Shah,4
Mike Newell,4
Ahmed Nader Galal,4
Subhash Ghai,4
Edward Cotterill,4
Gregory Hoblit,4
Neeraj Pandey,3
Kief Davidson,3
Remo D'Souza,3
Mike Gunther,3
Adam Carolla,3
Sermiyan Midyat,3
Bedran Güzel,3
Rob Cohen,3
Jeff Baena,3
Pratim D. Gupta,3
Gonzalo López-Gallego,3
Raj Kumar Gupta,3
Rajkumar Hirani,3
Pidi Baiq,3
Christopher Nolen,3
Toshiyuki Kubooka,3
Ashwin Saravanan,3
John Asher,3
Maria Ripoll,3
Mikhail Red,3
Ricky Gervais,3
Sujoy Ghosh,3
Abhishek Chaubey,3
Mani Ratnam,3
Leena Yadav,3
Barry Sonnenfeld,3
Ketan Mehta,3
Ron Myrick,3
Jeff Nichols,3
Olivier Assayas,3
Nate Adams,3
Atom Egoyan,3
Antoine Fuqua,3
Kim Nguyen,3
Timothy Woodward Jr.,3
Anirban Majumder,3
Scott Stewart,3
Satish Rajwade,3
Vivieno Caldinelli,3
Roger Kumble,3
Note Chern-Yim,3
Cosima Spender,3
Onir,3
Raja Gosnell,3
Rako Prijanto,3
Vince Marcello,3
TJ Sullivan,3
Chandrakant Kulkarni,3
Joe Camp,3
Karyn Kusama,3
David Mackenzie,3
Yasmin Ahmad,3
Vikas Bahl,3
Petra Costa,3
Dustin McKenzie,3
Barak Goodman,3
Dante Lam,3
Alfonso Cuarón,3
Gastón Duprat,3
Greg Rankin,3
Simon Wells,3
Abhinay Deo,3
Noriyuki Abe,3
Aziz Mirza,3
Jon M. Chu,3
Ron Oliver,3
Latif Faiziyev,3
David Zucker,3
Theodore Boborol,3
Craig Brewer,3
Akiva Schaffer,3
Gerardo Olivares,3
Sunil Sukthankar,3
Gajendra Ahire,3
Adrian Teh,3
Israel Adrián Caetano,3
Toka McBaror,3
Peyton Reed,3
Kazuchika Kise,3
Louis C.K.,3
Rano Karno,3
John Schultz,3
G.J. Echternkamp,3
Tiller Russell,3
Michael Bay,3
Greg MacGillivray,3
Tom Hooper,3
Obi Emelonye,3
Clay Glen,3
Roger Allers,3
Barry Avrich,3
Nila Madhab Panda,3
Shirish Kunder,3
Ismail Farouk,3
Amitoj Mann,3
Richard Weston,3
Cheh Chang,3
Diego Pignataro,3
Walter C. Miller,3
Marc Forster,3
Mark A.Z. Dippé,3
Rob Reiner,3
Bobcat Goldthwait,3
David Michôd,3
Alex Lehmann,3
Chris Buck,3
David Ayer,3
Hasan Karacadağ,3
Joel Coen,3
Florent Bodin,3
Momoko Kamiya,3
Raj Kapoor,3
Lekh Tandon,3
Kobun Shizuno,3
Frank Oz,3
Linda Mendoza,3
Scott Zabielski,3
Bo Burnham,3
Ahmed Al-Badry,3
Matías Gueilburt,3
Vicky Matthews,3
Shawn Levy,3
Amr Arafa,3
Moses Inwang,3
Ken Ghosh,3
Peter Farrelly,3
Brett Haley,3
Orlando von Einsiedel,3
Andibachtiar Yusuf,3
Adam Shankman,3
Munjal Shroff,3
Tope Oshin,3
Sylvester Stallone,3
Ethan Coen,3
Frank Coraci,3
Olivia M. Lamasan,3
Gabriele Muccino,3
Abhishek Kapoor,3
B. V. Nandini Reddy,3
Mike Flanagan,3
Cem Yılmaz,3
Ishaya Bako,3
Mohamed Hamdy,3
John Lee Hancock,3
Abhishek Sharma,3
Ömer Faruk Sorak,3
Morgan Neville,3
Ava DuVernay,3
Jonathan Demme,3
Charles Stone III,3
Ernie Barbarash,3
Eli Roth,3
Peter Segal,3
Sumitra Bhave,3
Timo Tjahjanto,3
John Fortenberry,3
Prakash Mehra,3
Lasse Hallström,3
Mahesh Bhatt,3
Steve Sacks,3
Jalil Lespert,3
Burak Aksak,3
Ezekiel Norton,3
Jon Rosenbaum,3
Chris Howe,3
Michael Dowse,3
Asit Mohapatra,3
David R. Ellis,3
Pankaj Batra,3
Seth Barrish,3
Fajar Bustomi,3
Michael Tiddes,3
Sean McNamara,3
Neal Brennan,3
Mohamed Samy,3
Brian Levant,3
Manish Jha,2
Will Gluck,2
Patricia Font,2
Zak Hilditch,2
Sherif Arafa,2
Tom Ford,2
Nicholas Kharkongor,2
Jared Hess,2
Tig Notaro,2
Alban Teurlai,2
Olivier Marchal,2
Syrine Boulanouar,2
Kabir Sadanand,2
Edwin,2
Griffin Dunne,2
Femi Oyeniran,2
Justin Webster,2
Mohit Suri,2
Hazem Fouda,2
Phil Weinstein,2
Jerry Rothwell,2
Oliver Twinch,2
Michael Patrick King,2
Alexis Morante,2
Jeff Orlowski,2
Baljit Singh Deo,2
David Pastor,2
Sriram Raghavan,2
Kris Pearn,2
Harold Cronk,2
Sundar C.,2
Steven Knight,2
Antonio Serrano,2
Noam Murro,2
Tim Burton,2
Ulises Valencia,2
Tsutomu Mizushima,2
Sam Mendes,2
Eric Idle,2
Rachel Grady,2
Florian Henckel von Donnersmarck,2
Hannah Fidell,2
Joe Dante,2
Ted Emery,2
Gianfranco Rosi,2
Tarsem Singh,2
Patryk Vega,2
J.C. Chandor,2
Shashanka Ghosh,2
Matthew Vaughn,2
Santosh Sivan,2
Eli Craig,2
Avadhoot Gupte,2
Dee Rees,2
Scott Hicks,2
John G. Avildsen,2
N. Linguswamy,2
Robert Altman,2
Masaaki Yuasa,2
Peter Spirer,2
Gilles Paquet-Brenner,2
Basu Chatterjee,2
John Dahl,2
Zoe Berriatúa,2
Jon Shenk,2
Daniel Alfredson,2
Umesh Shukla,2
Jack C. Newell,2
Houda Benyamina,2
Abba T. Makama,2
Anthony Giordano,2
Clark Johnson,2
William Brent Bell,2
Hiromasa Yonebayashi,2
Dennie Gordon,2
Christopher Smith,2
Tyler Spindel,2
Trivikram Srinivas,2
Mike Birbiglia,2
Peter Lepeniotis,2
Shyamal Chaulia,2
Robert O. Peters,2
George Ford,2
David M. Rosenthal,2
Paul W.S. Anderson,2
Jeff Tremaine,2
Upi Avianto,2
Chris Renaud,2
T.J. Martin,2
Tosin Coker,2
Todd Kauffman,2
David O. Russell,2
Stephen Chiodo,2
Sang-ho Yeon,2
Isaac Ezban,2
Steven Bognar,2
Sekhar Kammula,2
Benny Safdie,2
Mikhil Musale,2
Daniel Gray Longino,2
Sachin Yardi,2
Nagraj Manjule,2
Renzil D'Silva,2
Jeffrey Walker,2
Spike Jonze,2
Jason Paul Laxamana,2
Madeleine Parry,2
Alejandro Montiel,2
Ross Kauffman,2
Mysskin,2
Ajay Bhuyan,2
Fernando Meirelles,2
Kip Andersen,2
Brett Ratner,2
Chris Bell,2
Tate Taylor,2
Paul Verhoeven,2
Rusty Cundieff,2
Jeethu Joseph,2
Harvey Lowry,2
Salvador Calvo,2
Rajat Kapoor,2
Kevin Layne,2
