title,cast
3 Idiots,Kareena Kapoor
Aitraaz,Kareena Kapoor
Asoka,Kareena Kapoor
Bewafaa,Kareena Kapoor
Bodyguard,Kareena Kapoor
Chameli,Kareena Kapoor
Chup Chup Ke,Kareena Kapoor
Don,Kareena Kapoor
Ek Main Aur Ekk Tu,Kareena Kapoor
Fida,Kareena Kapoor
Gabbar Is Back,Kareena Kapoor
Golmaal Returns,Kareena Kapoor
Gori Tere Pyaar Mein,Kareena Kapoor
Heroine,Kareena Kapoor
Jab We Met,Kareena Kapoor
Kabhi Khushi Kabhie Gham,Kareena Kapoor
Khushi,Kareena Kapoor
Kurbaan,Kareena Kapoor
Main aurr Mrs. Khanna,Kareena Kapoor
Satyagraha,Kareena Kapoor
Talaash,Kareena Kapoor
Udta Punjab,Kareena Kapoor
We Are Family,Kareena Kapoor
Yaadein,Kareena Kapoor
Yuva,Kareena Kapoor
